# Chunk-averaged data for fix bi and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/number
11000 400 2746
  293 0.725 0.625 23 0.159722
  294 0.725 0.675 20 0.138889
  295 0.725 0.725 19 0.131944
  296 0.725 0.775 21 0.145833
  297 0.725 0.825 21 0.145833
  298 0.725 0.875 2 0.0138889
  299 0.725 0.925 0 0
  300 0.725 0.975 0 0
  301 0.775 0.025 0 0
  302 0.775 0.075 0 0
  303 0.775 0.125 0 0
  304 0.775 0.175 0 0
  305 0.775 0.225 0 0
  306 0.775 0.275 0 0
  307 0.775 0.325 0 0
  308 0.775 0.375 0 0
  309 0.775 0.425 0 0
  310 0.775 0.475 14 0.0972222
  311 0.775 0.525 21 0.145833
  312 0.775 0.575 22 0.152778
  313 0.775 0.625 24 0.166667
  314 0.775 0.675 23 0.159722
  315 0.775 0.725 22 0.152778
  316 0.775 0.775 22 0.152778
  317 0.775 0.825 5 0.0347222
  318 0.775 0.875 0 0
  319 0.775 0.925 0 0
  320 0.775 0.975 0 0
  321 0.825 0.025 0 0
  322 0.825 0.075 0 0
  323 0.825 0.125 0 0
  324 0.825 0.175 0 0
  325 0.825 0.225 0 0
  326 0.825 0.275 0 0
  327 0.825 0.325 0 0
  328 0.825 0.375 0 0
  329 0.825 0.425 0 0
  330 0.825 0.475 0 0
  331 0.825 0.525 5 0.0347222
  332 0.825 0.575 20 0.138889
  333 0.825 0.625 23 0.159722
  334 0.825 0.675 22 0.152778
  335 0.825 0.725 22 0.152778
  336 0.825 0.775 10 0.0694444
  337 0.825 0.825 0 0
  338 0.825 0.875 0 0
  339 0.825 0.925 0 0
  340 0.825 0.975 0 0
  341 0.875 0.025 0 0
  342 0.875 0.075 0 0
  343 0.875 0.125 0 0
  344 0.875 0.175 0 0
  345 0.875 0.225 0 0
  346 0.875 0.275 0 0
  347 0.875 0.325 0 0
  348 0.875 0.375 0 0
  349 0.875 0.425 0 0
  350 0.875 0.475 0 0
  351 0.875 0.525 0 0
  352 0.875 0.575 1 0.00694444
  353 0.875 0.625 5 0.0347222
  354 0.875 0.675 6 0.0416667
  355 0.875 0.725 2 0.0138889
  356 0.875 0.775 0 0
  357 0.875 0.825 0 0
  358 0.875 0.875 0 0
  359 0.875 0.925 0 0
  360 0.875 0.975 0 0
  361 0.925 0.025 0 0
  362 0.925 0.075 0 0
  363 0.925 0.125 0 0
  364 0.925 0.175 0 0
  365 0.925 0.225 0 0
  366 0.925 0.275 0 0
  367 0.925 0.325 0 0
  368 0.925 0.375 0 0
  369 0.925 0.425 0 0
  370 0.925 0.475 0 0
  371 0.925 0.525 0 0
  372 0.925 0.575 0 0
  373 0.925 0.625 0 0
  374 0.925 0.675 0 0
  375 0.925 0.725 0 0
  376 0.925 0.775 0 0
  377 0.925 0.825 0 0
  378 0.925 0.875 0 0
  379 0.925 0.925 0 0
  380 0.925 0.975 0 0
  381 0.975 0.025 0 0
  382 0.975 0.075 0 0
  383 0.975 0.125 0 0
  384 0.975 0.175 0 0
  385 0.975 0.225 0 0
  386 0.975 0.275 0 0
  387 0.975 0.325 0 0
  388 0.975 0.375 0 0
  389 0.975 0.425 0 0
  390 0.975 0.475 0 0
  391 0.975 0.525 0 0
  392 0.975 0.575 0 0
  393 0.975 0.625 0 0
  394 0.975 0.675 0 0
  395 0.975 0.725 0 0
  396 0.975 0.775 0 0
  397 0.975 0.825 0 0
  398 0.975 0.875 0 0
  399 0.975 0.925 0 0
  400 0.975 0.975 0 0
